"","x"
"710","10/02/1984 (evening)"
"711","11/02/1984 (morning)"
"712","13/02/1984 (evening)"
"713","15/02/1984 (morning)"
"714","16/02/1984 (evening)"
"715","18/02/1984 (morning)"
"716","19/02/1984 (evening)"
"717","21/02/1984 (morning)"
"718","22/02/1984 (evening)"
"719","24/02/1984 (morning)"
"720","26/02/1984 (evening)"
"721","27/02/1984 (morning)"
"722","29/02/1984 (evening)"
"723","01/03/1984 (morning)"
"724","03/03/1984 (evening)"
"725","04/03/1984 (morning)"
"726","06/03/1984 (evening)"
"727","07/03/1984 (morning)"
"728","09/03/1984 (evening)"
"729","10/03/1984 (morning)"
"730","12/03/1984 (evening)"
"731","14/03/1984 (morning)"
"732","15/03/1984 (evening)"
"733","17/03/1984 (morning)"
"734","18/03/1984 (evening)"
"735","20/03/1984 (morning)"
"736","21/03/1984 (evening)"
"737","23/03/1984 (morning)"
"738","24/03/1984 (evening)"
"739","26/03/1984 (morning)"
"740","28/03/1984 (evening)"
"741","29/03/1984 (morning)"
"742","31/03/1984 (evening)"
"743","01/09/1984 (morning)"
"744","03/09/1984 (evening)"
"745","05/09/1984 (morning)"
"746","06/09/1984 (evening)"
"747","08/09/1984 (morning)"
"748","09/09/1984 (evening)"
"749","11/09/1984 (morning)"
"750","12/09/1984 (evening)"
"751","14/09/1984 (morning)"
"752","15/09/1984 (evening)"
"753","17/09/1984 (morning)"
"754","18/09/1984 (evening)"
"755","20/09/1984 (morning)"
"756","22/09/1984 (evening)"
"757","23/09/1984 (morning)"
"758","25/09/1984 (evening)"
"759","26/09/1984 (morning)"
"760","28/09/1984 (evening)"
"761","29/09/1984 (morning)"
"762","01/10/1984 (evening)"
"763","02/10/1984 (morning)"
"764","04/10/1984 (evening)"
"765","06/10/1984 (morning)"
"766","07/10/1984 (evening)"
"767","09/10/1984 (morning)"
"768","10/10/1984 (evening)"
"769","12/10/1984 (morning)"
"770","13/10/1984 (evening)"
"771","15/10/1984 (morning)"
"772","16/10/1984 (evening)"
"773","18/10/1984 (morning)"
"774","19/10/1984 (evening)"
"775","21/10/1984 (morning)"
"776","23/10/1984 (evening)"
"777","24/10/1984 (morning)"
"778","26/10/1984 (evening)"
"779","27/10/1984 (morning)"
"780","29/10/1984 (evening)"
"781","30/10/1984 (morning)"
"782","01/11/1984 (evening)"
"783","03/11/1984 (morning)"
"784","04/11/1984 (evening)"
"785","06/11/1984 (morning)"
"786","07/11/1984 (evening)"
"787","09/11/1984 (morning)"
"788","10/11/1984 (evening)"
"789","12/11/1984 (morning)"
"790","13/11/1984 (evening)"
"791","15/11/1984 (morning)"
"792","16/11/1984 (evening)"
"793","18/11/1984 (morning)"
"794","20/11/1984 (evening)"
"795","21/11/1984 (morning)"
"796","23/11/1984 (evening)"
"797","24/11/1984 (morning)"
"798","26/11/1984 (evening)"
"799","27/11/1984 (morning)"
"800","29/11/1984 (evening)"
